Date,Open,High,Low,Close,Volume
2021-11-22,1869.8688816922584,1869.8688816922584,1829.539251176756,1856.9498291015625,18178
2021-11-23,1832.4716210147624,1856.269953755214,1829.964338173464,1845.05078125,2735
2021-11-24,1854.230030277396,1866.8515205145268,1844.0730766542624,1859.1171875,4030
2021-11-25,1861.369434572453,1869.868838383286,1845.22056733187,1858.947021484375,3960
2021-11-26,1845.4331240431195,1866.4266107695792,1772.1257633298349,1777.2679443359375,15451
2021-11-29,1777.2679909514968,1781.815047783029,1736.4283114834027,1741.5279541015625,7252
2021-11-30,1750.1974311863073,1765.326413544842,1736.5559484510995,1749.7724609375,7706
2021-12-01,1758.1017242523133,1783.1749661500378,1745.480026261127,1779.732666015625,4137
2021-12-02,1791.674460301247,1791.674460301247,1752.3221761475222,1768.6409912109375,4497
2021-12-03,1777.523033502324,1791.674458916341,1733.198514771394,1750.15478515625,4332
2021-12-06,1758.654166075219,1797.6240179775798,1750.8772941058223,1767.2386474609375,5256
2021-12-07,1774.3781017609183,1776.0356516464483,1751.9822953518826,1761.5015869140625,3466
2021-12-08,1770.2987278527128,1780.7953689660026,1755.12720628788,1763.4566650390625,5664
2021-12-09,1772.295796912379,1779.8603914719067,1765.4114037234765,1772.7633056640625,2054
2021-12-10,1776.3754278861777,1799.281280060556,1741.527871645348,1750.6221923828125,15984
2021-12-13,1761.8840633795178,1772.168426112844,1742.3779710099427,1744.88525390625,9610
2021-12-14,1753.6396160011184,1758.0592647961123,1726.2290367615517,1733.666015625,104861
2021-12-15,1732.1785083511934,1772.975646918837,1732.1359698308568,1745.650146484375,11693
2021-12-16,1750.877445333789,1755.4247100506147,1731.3288136625863,1733.5811767578125,3093
2021-12-17,1742.250411112322,1742.250411112322,1682.924529719577,1692.1463623046875,7421
2021-12-20,1692.1465840636004,1699.796048662434,1665.245946140535,1670.8980712890625,9649
2021-12-21,1695.4613840905522,1696.5662445106789,1668.4332341604609,1681.5223388671875,3923
2021-12-22,1681.5223283624543,1707.4455139579682,1681.5223283624543,1702.3883056640625,2729
2021-12-23,1710.9301031040795,1728.6089057300478,1701.155788059024,1717.6446533203125,4286
2021-12-24,1723.5941442283213,1723.6365789964905,1674.0851163213322,1677.8673095703125,5325
2021-12-27,1686.2819364825853,1695.6738204221606,1676.4226475238122,1691.466552734375,1840
2021-12-28,1698.0960483603933,1715.1798306805977,1691.3814980447914,1703.1107177734375,34678
2021-12-29,1708.3804366193065,1720.2796038395404,1693.7189627229468,1695.8863525390625,3984
2021-12-30,1691.3814912134274,1733.0285731578786,1684.5819676306598,1721.04443359375,7113
2021-12-31,1721.044527284928,1772.1259302307676,1697.3311667486057,1738.5107421875,15165
2022-01-03,1750.8773346755836,1750.8773346755836,1723.0843233397418,1731.668701171875,3922
2022-01-04,1720.6194220124924,1739.91302821385,1701.1983039965237,1716.709716796875,7410
2022-01-05,1742.377970765225,1742.377970765225,1708.3803518234645,1717.5172119140625,4218
2022-01-06,1724.5291442533078,1731.9235845438347,1705.8729931883322,1708.677734375,4898
2022-01-07,1693.9312371932233,1716.6246046400738,1693.9312371932233,1699.6683349609375,8920
2022-01-10,1707.5305830664438,1722.1495191805434,1682.8823068549325,1687.259521484375,13370
2022-01-11,1695.7164060418352,1703.1533860099737,1678.6326213798138,1682.88232421875,8026
2022-01-12,1691.2963986978032,1701.5806566412912,1672.7676567398744,1678.6748046875,10073
2022-01-13,1689.6816284492509,1698.011086428521,1679.269857851412,1682.712158203125,9733
2022-01-14,1690.9564748042187,1696.9910310686032,1679.822275992046,1682.6695556640625,9581
2022-01-17,1695.5462113271133,1695.6311846209562,1678.6323757525756,1680.5872802734375,13509
2022-01-18,1682.8821239048311,1694.1863736118578,1672.5978650092457,1678.8023681640625,10950
2022-01-19,1665.9257792040803,1686.2392724532544,1665.9257792040803,1677.7398681640625,4034
2022-01-20,1686.1543154171536,1687.9391695845932,1675.742545062513,1682.4996337890625,5824
2022-01-21,1687.1317783159068,1692.2314209707658,1671.9603621682,1674.6376953125,7787
2022-01-24,1674.6376773835325,1682.754546270785,1648.884440751214,1653.2191162109375,11771
2022-01-25,1636.1353034816627,1673.4051700338505,1624.7886196599638,1664.268310546875,7952
2022-01-27,1648.884534052058,1657.383938866759,1639.5351887558863,1646.97216796875,5591
2022-01-28,1655.2164868855791,1673.320259961013,1640.385067542733,1643.997314453125,7358
2022-01-31,1652.2418203013474,1655.8116327108116,1636.9854295796313,1641.065185546875,8039
2022-02-01,1649.309178097239,1657.5111228717692,1629.3355807330108,1638.7698974609375,7314
2022-02-02,1656.5341041463714,1659.2538723597188,1640.3852339674174,1649.5220947265625,6051
2022-02-03,1656.5338229677934,1656.5338229677934,1616.2466276617934,1625.426025390625,7703
2022-02-04,1655.683943979,1657.3838248249745,1606.3873994457444,1616.9691162109375,14564
2022-02-07,1627.6360495980143,1652.8792408244606,1627.6360495980143,1636.5604248046875,9525
2022-02-08,1653.0492066378165,1653.0492066378165,1610.6371573121835,1614.6318359375,8752
2022-02-09,1619.1791935630108,1644.6348700768951,1610.7647618493263,1613.8670654296875,4831
2022-02-10,1624.23614208227,1631.8430673377543,1600.097813411763,1602.775146484375,5903
2022-02-11,1602.7752188089987,1643.1473905674118,1560.7457046583445,1606.7698974609375,52703
2022-02-14,1593.6382218903186,1631.5455423111853,1580.889116115196,1625.510986328125,78351
2022-02-15,1625.171188911681,1644.592308342542,1603.115274714374,1638.4727783203125,90359
2022-02-16,1646.249796259796,1675.2327469300535,1636.1354834299104,1654.2392578125,9449
2022-02-17,1653.1340849086664,1669.8778693576448,1644.7196541630035,1651.4342041015625,4716
2022-02-18,1655.6840224260834,1658.5313022274972,1644.9322548153732,1647.9495849609375,3594
2022-02-21,1653.1343310274658,1669.2832010991997,1633.585698835367,1638.8978271484375,19223
2022-02-22,1636.0767470424323,1675.134282117716,1618.7178425645288,1664.501953125,18405
2022-02-23,1666.455108487237,1688.4141687031774,1644.7564742621428,1651.56982421875,14075
2022-02-24,1644.7564733638806,1644.7564733638806,1589.2079697779764,1606.5234375,15865
2022-02-25,1614.5952783566645,1648.2281594405622,1614.5952783566645,1623.5784912109375,4403
2022-02-28,1630.8692257443904,1644.7563506043746,1623.0577180106493,1637.0316162109375,6890
